"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80019;"Capão Redondo";2018;"18 a 19 anos";9.387
80019;"Capão Redondo";2018;"Total da Seleção";86.115
80019;"Capão Redondo";2018;"Total Geral da População";290.943
80020;"Carrão";2018;"00 a 03 anos";3.438
80020;"Carrão";2018;"04 a 05 anos";1.768
80020;"Carrão";2018;"06 anos";875
80020;"Carrão";2018;"07 a 10 anos";3.392
80020;"Carrão";2018;"11 a 14 anos";3.329
80020;"Carrão";2018;"15 a 17 anos";2.773
80020;"Carrão";2018;"18 a 19 anos";2.000
80020;"Carrão";2018;"Total da Seleção";17.575
80020;"Carrão";2018;"Total Geral da População";84.735
80021;"Casa Verde";2018;"00 a 03 anos";4.398
80021;"Casa Verde";2018;"04 a 05 anos";2.218
80021;"Casa Verde";2018;"06 anos";1.077
80021;"Casa Verde";2018;"07 a 10 anos";4.006
80021;"Casa Verde";2018;"11 a 14 anos";3.652
80021;"Casa Verde";2018;"15 a 17 anos";2.985
80021;"Casa Verde";2018;"18 a 19 anos";2.116
80021;"Casa Verde";2018;"Total da Seleção";20.452
80021;"Casa Verde";2018;"Total Geral da População";86.009
80022;"Cidade Ademar";2018;"00 a 03 anos";16.944
80022;"Cidade Ademar";2018;"04 a 05 anos";8.440
80022;"Cidade Ademar";2018;"06 anos";4.107
80022;"Cidade Ademar";2018;"07 a 10 anos";15.449
80022;"Cidade Ademar";2018;"11 a 14 anos";14.473
80022;"Cidade Ademar";2018;"15 a 17 anos";11.878
80022;"Cidade Ademar";2018;"18 a 19 anos";8.443
80022;"Cidade Ademar";2018;"Total da Seleção";79.734
80022;"Cidade Ademar";2018;"Total Geral da População";282.224
80023;"Cidade Dutra";2018;"00 a 03 anos";11.180
80023;"Cidade Dutra";2018;"04 a 05 anos";5.583
80023;"Cidade Dutra";2018;"06 anos";2.730
80023;"Cidade Dutra";2018;"07 a 10 anos";10.412
80023;"Cidade Dutra";2018;"11 a 14 anos";10.068
80023;"Cidade Dutra";2018;"15 a 17 anos";8.494
80023;"Cidade Dutra";2018;"18 a 19 anos";6.092
80023;"Cidade Dutra";2018;"Total da Seleção";54.559
80023;"Cidade Dutra";2018;"Total Geral da População";201.462
80024;"Cidade Lider";2018;"00 a 03 anos";7.273
80024;"Cidade Lider";2018;"04 a 05 anos";3.628
80024;"Cidade Lider";2018;"06 anos";1.783
80024;"Cidade Lider";2018;"07 a 10 anos";6.875
80024;"Cidade Lider";2018;"11 a 14 anos";6.737
80024;"Cidade Lider";2018;"15 a 17 anos";5.596
80024;"Cidade Lider";2018;"18 a 19 anos";3.998
80024;"Cidade Lider";2018;"Total da Seleção";35.890
80024;"Cidade Lider";2018;"Total Geral da População";133.606
80025;"Cidade Tiradentes";2018;"00 a 03 anos";14.482
80025;"Cidade Tiradentes";2018;"04 a 05 anos";7.041
80025;"Cidade Tiradentes";2018;"06 anos";3.470
80025;"Cidade Tiradentes";2018;"07 a 10 anos";13.700
80025;"Cidade Tiradentes";2018;"11 a 14 anos";14.122
80025;"Cidade Tiradentes";2018;"15 a 17 anos";11.964
80025;"Cidade Tiradentes";2018;"18 a 19 anos";8.500
80025;"Cidade Tiradentes";2018;"Total da Seleção";73.279
80025;"Cidade Tiradentes";2018;"Total Geral da População";230.610
80026;"Consolação";2018;"00 a 03 anos";1.870
80026;"Consolação";2018;"04 a 05 anos";881
80026;"Consolação";2018;"06 anos";416
80026;"Consolação";2018;"07 a 10 anos";1.497
80026;"Consolação";2018;"11 a 14 anos";1.310
80026;"Consolação";2018;"15 a 17 anos";1.041
80026;"Consolação";2018;"18 a 19 anos";755
80026;"Consolação";2018;"Total da Seleção";7.770
80026;"Consolação";2018;"Total Geral da População";57.437
80027;"Cursino";2018;"00 a 03 anos";5.141
80027;"Cursino";2018;"04 a 05 anos";2.670
80027;"Cursino";2018;"06 anos";1.317
80027;"Cursino";2018;"07 a 10 anos";5.009
80027;"Cursino";2018;"11 a 14 anos";4.656
80027;"Cursino";2018;"15 a 17 anos";3.659
80027;"Cursino";2018;"18 a 19 anos";2.562
80027;"Cursino";2018;"Total da Seleção";25.014
80027;"Cursino";2018;"Total Geral da População";112.963
80028;"Ermelino Matarazzo";2018;"00 a 03 anos";6.570
80028;"Ermelino Matarazzo";2018;"04 a 05 anos";3.314
80028;"Ermelino Matarazzo";2018;"06 anos";1.630
80028;"Ermelino Matarazzo";2018;"07 a 10 anos";6.274
80028;"Ermelino Matarazzo";2018;"11 a 14 anos";6.075
80028;"Ermelino Matarazzo";2018;"15 a 17 anos";4.969
80028;"Ermelino Matarazzo";2018;"18 a 19 anos";3.532
80028;"Ermelino Matarazzo";2018;"Total da Seleção";32.364
80028;"Ermelino Matarazzo";2018;"Total Geral da População";117.821
80029;"Freguesia do Ó";2018;"00 a 03 anos";7.013
80029;"Freguesia do Ó";2018;"04 a 05 anos";3.523
